name	rank	mean_percent	total_reads
Nakaseomyces	G	0.12	1
Nakaseomyces glabratus	S	0.12	1
Naumovozyma	G	0.155	2
Naumovozyma castellii	S	0.19	1
Naumovozyma dairenensis	S	0.12	1
Naumovozyma dairenensis CBS 421	S1	0.12	1
Nectriaceae	F	0.38875	8
Neurospora	G	3.106	5
Neurospora crassa	S	3.106	5
Neurospora crassa OR74A	S1	3.106	5
Octocorallia	C1	71.58495268138802	23924
Ophiocordycipitaceae	F	0.29125	8
Opisthokonta	R3	72.43003144654088	24135
Pezizomycotina	P2	4.160645161290322	104
Pichiomycetes	C	0.39666666666666667	9
Pleosporaceae	F	0.2	1
Pleosporales	O	0.2	1
Pleosporineae	O1	0.2	1
Pleosporomycetidae	C1	0.2	1
Plexauridae	F	71.58495268138802	23924
Podospora	G	1.45	1
Podosporaceae	F	1.45	1
Primates	O	0.9046428571428572	31
Purpureocillium	G	0.5	1
Purpureocillium takamizusanense	S	0.5	1
Pyrenophora	G	0.2	1
Pyrenophora tritici-repentis	S	0.2	1
Pyricularia	G	1.45	1
Pyricularia grisea	S	1.45	1
Pyriculariaceae	F	1.45	1
Remersonia	G	1.285	2
Remersonia thermophila	S	1.285	2
Rhizophagus	G	0.09	1
Rhizophagus irregularis	S	0.09	1
Saccharomycetaceae	F	0.3383333333333333	7
Saccharomycetales	O	0.3383333333333333	7
Saccharomycetes	C	0.3383333333333333	7
Saccharomycotina	P2	0.39555555555555555	20
Salinibaculum	G	0.13	1
Salinibaculum marinum	S	0.13	1
Sarcopterygii	P6	0.9046428571428572	31
Sclerotiniaceae	F	0.26	2
Serinales	O	0.39666666666666667	9
Simiiformes	O2	0.9046428571428572	31
Sordaria	G	0.47	1
Sordaria macrospora	S	0.47	1
Sordariaceae	F	2.6666666666666665	6
Sordariales	O	2.0309999999999997	10
Sordariales incertae sedis	O1	1.285	2
Sordariomycetes	C	4.205409836065574	98
Sordariomycetidae	C1	1.978181818181818	11
Stenosarchaea group	P1	0.13	2
Sugiyamaella	G	0.29	1
Sugiyamaella lignohabitans	S	0.29	1
Talaromyces	G	0.12	1
Talaromyces rugulosus	S	0.12	1
Talaromyces sect. Islandici	G1	0.12	1
Teleostomi	P4	0.9046428571428572	31
Tetrapoda	P8	0.9046428571428572	31
Theria	C1	0.9046428571428572	31
Tremellales	O	0.6131578947368421	21
Tremellomycetes	C	0.6131578947368421	21
Trichocomaceae	F	0.12	1
Trichoderma	G	1.645	6
Trichoderma asperellum	S	0.5733333333333334	3
Trichoderma atroviride	S	2.716666666666667	3
Trichomonascaceae	F	0.29	1
Vertebrata	P2	0.9046428571428572	31
cellular organisms	R1	72.44396226415094	24138
dothideomyceta	P4	0.2633333333333333	3
leotiomyceta	P3	4.160645161290322	104
root	R	72.44396226415094	24138
saccharomyceta	P1	3.692222222222222	125
sordariomyceta	P4	4.213934426229508	100
unclassified	U	38.61860927152318	10169
