#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
OZ247666.1	1	16645368	27161	3493073	20.9853	0.298956	30.2	23
OZ247667.1	1	14847524	22815	3011290	20.2814	0.283646	30.2	25.1
OZ247668.1	1	14820029	24536	3120309	21.0547	0.303018	30.2	22.5
CBDDTY010000012.1	1	6743	4	691	10.2477	0.102477	27	16.2
CBDDTY010000014.1	1	74823	225	25581	34.1887	0.557329	30.7	26.3
CBDDTY010000015.1	1	513578	879	94985	18.4948	0.314061	30	13.5
CBDDTY010000016.1	1	15272	58	5393	35.313	0.729505	29.8	25.3
CBDDTY010000018.1	1	1808000	2484	304586	16.8466	0.26173	29.9	13.3
CBDDTY010000019.1	1	1397391	1661	235568	16.8577	0.241743	30.2	1.14
CBDDTY010000020.1	1	1374880	1449	174389	12.6839	0.19283	30.1	16.5
CBDDTY010000022.1	1	792527	1364	161987	20.4393	0.30353	30.3	13.3
CBDDTY010000023.1	1	1139680	2146	134191	11.7744	0.427757	30.7	8.45
CBDDTY010000024.1	1	1667	2	127	7.61848	0.138572	37.9	0
CBDDTY010000025.1	1	1026420	1407	173102	16.8646	0.245472	30	16.8
CBDDTY010000026.1	1	1012600	484	56462	5.57594	0.0856992	30.7	14.1
CBDDTY010000027.1	1	968581	820	94386	9.74477	0.152926	30.2	16.2
CBDDTY010000028.1	1	555299	1022	105820	19.0564	0.365517	30.4	4
CBDDTY010000029.1	1	799000	1972	135907	17.0096	0.487443	30.4	16.1
CBDDTY010000030.1	1	749000	49	7277	0.971562	0.0111495	30.9	0.776
CBDDTY010000031.1	1	715217	841	98087	13.7143	0.21568	30.3	18.3
CBDDTY010000032.1	1	699400	514	58848	8.41407	0.137484	30.1	6.72
CBDDTY010000033.1	1	662224	55	6712	1.01355	0.0167904	29.2	0.309
CBDDTY010000034.1	1	657600	947	76267	11.5978	0.28278	30.4	12.3
CBDDTY010000035.1	1	604775	859	102929	17.0194	0.259716	30.5	18.7
CBDDTY010000036.1	1	577475	922	108259	18.747	0.288665	29.9	18.3
CBDDTY010000037.1	1	364000	65	9063	2.48984	0.0376071	30.5	39.1
CBDDTY010000038.1	1	353843	397	45617	12.8919	0.204291	29.7	19.3
CBDDTY010000039.1	1	347000	405	53221	15.3375	0.21211	30.3	12.4
CBDDTY010000040.1	1	340000	151	17122	5.03588	0.0834882	30.9	13.4
CBDDTY010000041.1	1	335200	288	38670	11.5364	0.156363	29.3	9.1
CBDDTY010000042.1	1	294000	689	77294	26.2905	0.417439	30.1	14.9
CBDDTY010000043.1	1	288000	319	33436	11.6097	0.20066	30.5	8.14
CBDDTY010000044.1	1	285552	248	29849	10.4531	0.159691	30.5	8.6
CBDDTY010000045.1	1	284000	275	31956	11.2521	0.175873	31.3	12.2
CBDDTY010000046.1	1	267800	570	59557	22.2394	0.385381	30.1	12
CBDDTY010000047.1	1	254316	30	4863	1.91219	0.0249925	30.7	2.57
CBDDTY010000048.1	1	240800	405	47434	19.6985	0.297978	30.2	14.3
CBDDTY010000049.1	1	221200	247	32704	14.7848	0.223761	30.8	5.88
CBDDTY010000050.1	1	211042	162	22172	10.506	0.143152	30.1	13.5
CBDDTY010000051.1	1	205000	240	25885	12.6268	0.203059	29.7	12.3
CBDDTY010000052.1	1	195200	177	21197	10.8591	0.156691	29.2	7.21
CBDDTY010000053.1	1	195000	275	39270	20.1385	0.243677	30.1	31
CBDDTY010000054.1	1	194200	126	16954	8.73018	0.145252	31	1.98
CBDDTY010000055.1	1	193800	391	41724	21.5294	0.367513	29.9	16.4
CBDDTY010000056.1	1	190600	380	40452	21.2235	0.379176	30.1	11.8
CBDDTY010000057.1	1	180000	97	8159	4.53278	0.108472	30.8	4.64
CBDDTY010000058.1	1	178701	102	14398	8.05703	0.100654	31.2	11.8
CBDDTY010000059.1	1	175000	67	10503	6.00171	0.066	30.4	2.07
CBDDTY010000060.1	1	169926	315	31780	18.7023	0.339424	30.2	4.82
CBDDTY010000061.1	1	165200	152	17903	10.8372	0.158662	30.3	4.14
CBDDTY010000062.1	1	162000	267	27074	16.7123	0.305698	30.4	7.81
CBDDTY010000063.1	1	161000	247	27631	17.1621	0.305957	30	1.79
CBDDTY010000064.1	1	4986	3	607	12.1741	0.121741	28.4	20.3
CBDDTY010000066.1	1	155400	19	2691	1.73166	0.0244788	31.4	12.7
CBDDTY010000067.1	1	153036	284	32275	21.0898	0.330589	30.5	6.49
CBDDTY010000068.1	1	153000	215	23257	15.2007	0.25715	30.2	7.48
CBDDTY010000070.1	1	150357	251	32979	21.9338	0.293994	30.4	9.18
CBDDTY010000071.1	1	142400	8	2092	1.4691	0.017184	28.2	1.88
CBDDTY010000072.1	1	140603	263	29162	20.7407	0.342923	29.6	11.6
CBDDTY010000073.1	1	134000	42	6320	4.71642	0.0709254	30.1	0.595
CBDDTY010000074.1	1	127396	29	4127	3.23951	0.0419401	27	2.21
CBDDTY010000075.1	1	126000	109	13960	11.0794	0.162349	30.4	0.862
CBDDTY010000076.1	1	122094	355	38574	31.5937	0.541583	29.4	8.92
CBDDTY010000077.1	1	118000	178	26271	22.2636	0.304958	29.7	1.12
CBDDTY010000078.1	1	113200	154	20128	17.7809	0.20856	30	1.2
CBDDTY010000079.1	1	110600	247	24208	21.8879	0.445298	29.5	14.2
CBDDTY010000080.1	1	109000	5	749	0.687156	0.00813761	29.8	0.4
CBDDTY010000081.1	1	106000	10	1934	1.82453	0.020566	27.9	0.3
CBDDTY010000082.1	1	105000	136	17157	16.34	0.224571	30.3	11.4
CBDDTY010000083.1	1	103000	2	397	0.385437	0.00385437	29.9	0
CBDDTY010000084.1	1	101400	4	399	0.393491	0.00393491	34	0
CBDDTY010000085.1	1	101000	68	9524	9.4297	0.112475	30.2	1.21
CBDDTY010000086.1	1	99160	179	20264	20.4357	0.307735	30.3	15.5
CBDDTY010000087.1	1	98000	40	5918	6.03878	0.0743061	31.6	0.075
CBDDTY010000088.1	1	94000	58	7806	8.30426	0.115628	30.6	2.43
CBDDTY010000089.1	1	93200	37	5006	5.37124	0.0615665	29.5	0.622
CBDDTY010000090.1	1	93200	166	19154	20.5515	0.339453	29.8	24.8
CBDDTY010000091.1	1	91592	4	774	0.845052	0.0108525	32.9	0.5
CBDDTY010000092.1	1	91000	11	1310	1.43956	0.0203187	28.7	0.182
CBDDTY010000093.1	1	89742	175	22657	25.2468	0.342058	29.5	0.914
CBDDTY010000094.1	1	89082	80	10881	12.2146	0.166678	30.6	9.26
CBDDTY010000095.1	1	89000	40	4897	5.50225	0.090764	29.1	12.6
CBDDTY010000096.1	1	89000	12	2161	2.42809	0.0309326	31.2	0.583
CBDDTY010000097.1	1	88400	75	9078	10.2692	0.149389	31	5.87
CBDDTY010000098.1	1	88187	71	9575	10.8576	0.139057	31.5	3.15
CBDDTY010000099.1	1	88000	279	29013	32.9693	0.584807	28.9	15.3
CBDDTY010000100.1	1	85432	247	27528	32.2221	0.509669	30.2	1.72
CBDDTY010000101.1	1	84721	98	15317	18.0793	0.20649	29.6	6.02
CBDDTY010000102.1	1	84000	146	18707	22.2702	0.316917	30.5	20.6
CBDDTY010000103.1	1	82593	2	456	0.552105	0.00552105	26.5	0.5
CBDDTY010000104.1	1	82000	25	3898	4.75366	0.0683415	31.2	0.16
CBDDTY010000105.1	1	81000	6	732	0.903704	0.00903704	29	0
CBDDTY010000106.1	1	79800	99	11271	14.1241	0.21802	31.1	14.5
CBDDTY010000107.1	1	80000	2	384	0.48	0.0048	29.1	0.5
CBDDTY010000108.1	1	80000	86	8786	10.9825	0.19215	30.5	5.73
CBDDTY010000109.1	1	79658	68	7994	10.0354	0.156431	29.4	16.6
CBDDTY010000110.1	1	78800	131	16481	20.915	0.29665	29.2	19.7
CBDDTY010000111.1	1	79000	251	27756	35.1342	0.623076	30.5	1.61
CBDDTY010000112.1	1	78378	117	13909	17.7461	0.271326	30.5	7.49
CBDDTY010000113.1	1	78200	89	12034	15.3887	0.220729	31.6	2.24
CBDDTY010000114.1	1	77000	57	7539	9.79091	0.124987	28.9	8.96
CBDDTY010000115.1	1	76454	113	15048	19.6824	0.253512	30.3	0.212
CBDDTY010000116.1	1	75599	1920	36405	48.1554	4.66902	28	0.0333
CBDDTY010000117.1	1	75000	196	19847	26.4627	0.49456	30.1	3.89
CBDDTY010000118.1	1	74641	80	11834	15.8546	0.194638	30.8	31.6
CBDDTY010000119.1	1	74000	110	17307	23.3878	0.291338	30.8	24.1
CBDDTY010000120.1	1	74000	110	13612	18.3946	0.255541	30.6	1.26
CBDDTY010000121.1	1	74000	15	2774	3.74865	0.0392838	30.4	1.4
CBDDTY010000122.1	1	74000	4	814	1.1	0.011	30.6	0.25
CBDDTY010000123.1	1	72678	71	7554	10.3938	0.17517	30.3	12.7
CBDDTY010000124.1	1	72011	83	11131	15.4574	0.206399	30.6	5.37
CBDDTY010000125.1	1	71823	100	12231	17.0294	0.241566	30.5	20.8
CBDDTY010000126.1	1	72000	188	22160	30.7778	0.48975	30.3	4.24
CBDDTY010000127.1	1	72000	9	1189	1.65139	0.0197361	31.7	22.9
CBDDTY010000128.1	1	72000	110	12562	17.4472	0.271111	29.6	14.2
CBDDTY010000129.1	1	71000	93	9890	13.9296	0.247507	29.2	2.71
CBDDTY010000130.1	1	70000	83	9285	13.2643	0.207471	29.5	0.542
CBDDTY010000131.1	1	69800	133	15499	22.2049	0.355501	30.2	6.86
CBDDTY010000132.1	1	69600	17	2671	3.83764	0.0499856	30.9	4.29
CBDDTY010000133.1	1	68800	118	14019	20.3765	0.294172	30.8	7.35
CBDDTY010000134.1	1	69000	109	17161	24.871	0.293768	28.9	0.826
CBDDTY010000135.1	1	68847	118	12556	18.2375	0.325054	29.6	5.22
CBDDTY010000136.1	1	68000	51	6532	9.60588	0.136279	29.3	19.4
CBDDTY010000137.1	1	68000	76	11626	17.0971	0.191971	31.2	0.566
CBDDTY010000138.1	1	66000	288	13899	21.0591	0.807273	29.8	12.3
CBDDTY010000139.1	1	65676	30	4833	7.35885	0.0791766	31.1	2.07
CBDDTY010000140.1	1	65517	62	8498	12.9707	0.15657	31.5	23.2
CBDDTY010000141.1	1	65000	661	22655	34.8538	1.91977	28.9	10.5
CBDDTY010000142.1	1	64675	77	12820	19.8222	0.239196	30.5	0.506
CBDDTY010000143.1	1	64000	93	11293	17.6453	0.270672	29.7	1.61
CBDDTY010000144.1	1	64000	17	2285	3.57031	0.03825	29.9	1.47
CBDDTY010000145.1	1	64000	85	10366	16.1969	0.232594	30.1	5.72
CBDDTY010000146.1	1	63800	53	5722	8.96865	0.137868	30.5	7.13
CBDDTY010000147.1	1	64000	20	3223	5.03594	0.05625	31.6	2.3
CBDDTY010000148.1	1	63205	124	15404	24.3715	0.352219	29.7	2.27
CBDDTY010000149.1	1	63000	51	8711	13.827	0.159524	29.7	2.61
CBDDTY010000150.1	1	63000	69	10236	16.2476	0.189127	29.7	0.058
CBDDTY010000151.1	1	62400	121	12797	20.508	0.343125	30.3	7.55
CBDDTY010000152.1	1	61800	72	10601	17.1537	0.217168	29.6	5.65
CBDDTY010000153.1	1	62000	70	9156	14.7677	0.191032	29.1	1.37
CBDDTY010000154.1	1	61792	38	3238	5.24016	0.112393	31.1	19.9
CBDDTY010000155.1	1	61130	52	7341	12.0088	0.162948	30.1	9.48
CBDDTY010000156.1	1	61000	7	879	1.44098	0.0242459	30.2	2.29
CBDDTY010000158.1	1	59400	70	8150	13.7205	0.183872	32.2	1.97
CBDDTY010000159.1	1	60000	8	1577	2.62833	0.0278833	32.6	0
CBDDTY010000160.1	1	58000	23	3374	5.81724	0.0696897	29.8	0.0435
CBDDTY010000161.1	1	57000	21	3012	5.28421	0.0598246	32.6	0.81
CBDDTY010000162.1	1	56000	323	24928	44.5143	1.18129	30.1	0.48
CBDDTY010000163.1	1	55600	87	9767	17.5665	0.253381	30	0.322
CBDDTY010000164.1	1	54600	68	8711	15.9542	0.224451	30.1	19.2
CBDDTY010000165.1	1	54285	64	9085	16.7357	0.241779	30.8	0.0938
CBDDTY010000166.1	1	54000	143	11060	20.4815	0.490593	30.4	37.2
CBDDTY010000167.1	1	53357	3	836	1.5668	0.015668	29.2	0.667
CBDDTY010000168.1	1	53000	17	2771	5.2283	0.0688491	30.3	6.06
CBDDTY010000169.1	1	53000	1	228	0.430189	0.00430189	21.6	1
CBDDTY010000170.1	1	53000	33	5248	9.90189	0.116132	31.5	1.03
CBDDTY010000172.1	1	52000	6	1585	3.04808	0.0346346	31.1	1.17
CBDDTY010000173.1	1	52000	1	100	0.192308	0.00192308	37.2	0
CBDDTY010000174.1	1	52000	311	28855	55.4904	1.22929	29.4	0.415
CBDDTY010000176.1	1	51767	51	6588	12.7263	0.182645	30.3	4.73
CBDDTY010000177.1	1	51000	97	8553	16.7706	0.324922	29.2	5.69
CBDDTY010000178.1	1	51000	26	3226	6.32549	0.0810588	31.2	0.0769
CBDDTY010000179.1	1	50278	302	18286	36.3698	1.11047	31.6	0.285
CBDDTY010000180.1	1	50000	10	1262	2.524	0.03446	30.8	0
CBDDTY010000181.1	1	49343	217	20625	41.7992	0.907971	31	5.58
CBDDTY010000182.1	1	43800	53	7102	16.2146	0.206758	30.7	9.08
CBDDTY010000183.1	1	43018	20	3108	7.22488	0.0815938	31.7	0.1
CBDDTY010000184.1	1	42800	63	7520	17.5701	0.278271	30.4	4.03
CBDDTY010000185.1	1	39997	97	9147	22.8692	0.441908	30.7	38.9
CBDDTY010000186.1	1	39979	100	10775	26.9516	0.475199	30.3	19.6
CBDDTY010000187.1	1	39930	60	8316	20.8264	0.262559	29.2	16.7
CBDDTY010000188.1	1	39923	54	8029	20.1112	0.240738	30.1	21.4
CBDDTY010000189.1	1	39907	72	10519	26.3588	0.320896	31	33.1
CBDDTY010000190.1	1	39885	61	8415	21.0982	0.272483	30.5	27
CBDDTY010000191.1	1	39852	99	11838	29.7049	0.426026	30.5	22.5
CBDDTY010000192.1	1	39835	89	11255	28.254	0.399849	30.7	26.2
CBDDTY010000193.1	1	39826	69	9142	22.9549	0.315548	32.1	27.9
CBDDTY010000194.1	1	39777	46	4443	11.1698	0.191618	31.3	4.96
CBDDTY010000195.1	1	39752	90	11510	28.9545	0.40408	31.4	28.9
CBDDTY010000196.1	1	39747	70	9972	25.0887	0.346995	30	34.5
CBDDTY010000197.1	1	39727	45	7182	18.0784	0.246256	28.7	19
CBDDTY010000198.1	1	39726	69	9470	23.8383	0.305694	30.6	33.1
CBDDTY010000199.1	1	39701	10	1344	3.38531	0.0341805	34	0.4
CBDDTY010000200.1	1	39691	27	4084	10.2895	0.117684	31.6	21.5
CBDDTY010000201.1	1	39675	34	5314	13.3938	0.165721	31.7	31.8
CBDDTY010000202.1	1	39636	209	14022	35.3769	0.961525	30.1	28.3
CBDDTY010000203.1	1	39634	68	8311	20.9694	0.274537	31.1	13.7
CBDDTY010000204.1	1	39633	45	5648	14.2508	0.205813	30	10.8
CBDDTY010000205.1	1	39628	71	9997	25.2271	0.315534	31.7	26.1
CBDDTY010000206.1	1	39601	69	9642	24.3479	0.324512	30.7	23.2
CBDDTY010000207.1	1	39600	44	7060	17.8283	0.212121	30.6	21.8
CBDDTY010000208.1	1	39595	62	7733	19.5302	0.302412	32.3	12
CBDDTY010000209.1	1	39385	29	4404	11.1819	0.140206	29.1	9.97
CBDDTY010000210.1	1	39584	21	2539	6.41421	0.0818007	30.4	8.33
CBDDTY010000211.1	1	39576	23	3716	9.38953	0.103093	30.5	16.7
CBDDTY010000212.1	1	39569	37	5217	13.1846	0.1624	29.6	9.78
CBDDTY010000213.1	1	39567	102	11051	27.9298	0.44484	30	6.43
CBDDTY010000214.1	1	39564	124	16007	40.4585	0.573855	30	28.9
CBDDTY010000215.1	1	39559	88	10038	25.3748	0.427084	30.7	21.2
CBDDTY010000216.1	1	39546	33	4610	11.6573	0.157538	30.1	10.7
CBDDTY010000217.1	1	39539	72	9329	23.5944	0.330737	30.5	14.6
CBDDTY010000218.1	1	39539	58	8608	21.7709	0.27416	31.3	26.5
CBDDTY010000219.1	1	39529	160	13688	34.6277	0.716057	29.8	12.4
CBDDTY010000220.1	1	39525	67	9388	23.7521	0.298267	30.2	25.8
CBDDTY010000221.1	1	39512	86	11545	29.219	0.425871	30.9	19.2
CBDDTY010000222.1	1	39446	45	5593	14.1789	0.2094	31.5	29.6
CBDDTY010000223.1	1	39434	46	7369	18.6869	0.203302	30.5	26.9
CBDDTY010000224.1	1	39425	93	12520	31.7565	0.432365	29.6	30.3
CBDDTY010000225.1	1	39419	226	16812	42.6495	1.04219	29.8	25.3
CBDDTY010000226.1	1	39410	38	5365	13.6133	0.163157	30.3	14.2
CBDDTY010000227.1	1	39362	126	12889	32.7448	0.559321	29.3	26.8
CBDDTY010000228.1	1	39355	45	4911	12.4787	0.19657	30.7	18.8
CBDDTY010000229.1	1	39340	87	9130	23.2079	0.372903	30.5	10.5
CBDDTY010000230.1	1	39328	45	5552	14.1172	0.188975	29.4	11.8
CBDDTY010000231.1	1	39324	72	10726	27.276	0.334274	30.7	24.9
CBDDTY010000232.1	1	39317	46	6448	16.4	0.228858	31.8	13.6
CBDDTY010000233.1	1	39277	62	9041	23.0186	0.276447	29.2	38.4
CBDDTY010000234.1	1	39272	88	10056	25.606	0.424985	31	11.3
CBDDTY010000235.1	1	39248	36	2963	7.54943	0.154581	30.8	2.92
CBDDTY010000236.1	1	39207	30	3709	9.46005	0.126763	30.3	3.53
CBDDTY010000237.1	1	39200	59	8013	20.4413	0.290842	31.2	16.6
CBDDTY010000238.1	1	39153	66	8368	21.3726	0.297321	30	16.5
CBDDTY010000239.1	1	39125	64	10540	26.9393	0.301316	30.1	38.2
CBDDTY010000240.1	1	39102	62	8916	22.8019	0.275024	30.1	27
CBDDTY010000241.1	1	39098	19	2654	6.78807	0.0876004	31.5	6.32
CBDDTY010000242.1	1	39086	48	6075	15.5426	0.280254	29	1.83
CBDDTY010000243.1	1	39070	19	2933	7.50704	0.0761966	31.8	36.6
CBDDTY010000244.1	1	39068	135	13515	34.5935	0.638528	30.5	17.6
CBDDTY010000245.1	1	39057	54	6941	17.7715	0.206749	30.8	24.2
CBDDTY010000246.1	1	39044	43	5776	14.7936	0.199083	31.7	13.8
CBDDTY010000247.1	1	39044	61	7498	19.204	0.266955	31.2	8.56
CBDDTY010000248.1	1	39041	47	7659	19.6178	0.24277	29.4	27.7
CBDDTY010000249.1	1	39022	49	7126	18.2615	0.249962	30.3	31.3
CBDDTY010000250.1	1	39001	80	11533	29.571	0.38758	30.3	29.7
CBDDTY010000251.1	1	38800	177	14998	38.6546	0.819227	29.7	10.6
CBDDTY010000252.1	1	39000	8	1060	2.71795	0.0335897	28.2	1.88
CBDDTY010000253.1	1	39000	91	11689	29.9718	0.441795	31.8	17.4
CBDDTY010000254.1	1	39000	30	4582	11.7487	0.149667	29.1	11.6
CBDDTY010000255.1	1	39000	35	3919	10.0487	0.153179	33.1	10.8
CBDDTY010000256.1	1	38800	20	3114	8.02577	0.0919845	28.6	16.1
CBDDTY010000257.1	1	39000	50	5644	14.4718	0.221333	30.9	6.66
CBDDTY010000258.1	1	39000	75	9872	25.3128	0.349333	31.1	37.3
CBDDTY010000259.1	1	39000	27	3697	9.47949	0.104564	29.6	14.7
CBDDTY010000260.1	1	39000	43	4498	11.5333	0.159821	29.2	4.79
CBDDTY010000261.1	1	39000	228	18958	48.6103	1.08636	29.9	24.3
CBDDTY010000262.1	1	39000	101	12974	33.2667	0.47741	30	33.7
CBDDTY010000263.1	1	39000	24	3252	8.33846	0.112487	32.1	24.2
CBDDTY010000264.1	1	39000	64	10435	26.7564	0.312718	30.9	30.3
CBDDTY010000265.1	1	38800	69	10305	26.5593	0.326366	30.6	40.5
CBDDTY010000266.1	1	39000	63	10247	26.2744	0.30741	31	34.2
CBDDTY010000267.1	1	39000	78	9981	25.5923	0.365128	31.6	13.9
CBDDTY010000268.1	1	39000	74	8212	21.0564	0.317744	30.7	19.6
CBDDTY010000269.1	1	39000	138	11417	29.2744	0.669179	31	1.91
CBDDTY010000270.1	1	38982	109	9265	23.7674	0.487276	30.7	11.1
CBDDTY010000271.1	1	38976	67	9117	23.3913	0.312859	31.7	18.3
CBDDTY010000272.1	1	38962	73	8056	20.6766	0.3478	30.8	22.3
CBDDTY010000273.1	1	38953	37	4777	12.2635	0.169974	30.3	23.5
CBDDTY010000274.1	1	38909	99	12025	30.9054	0.465471	30.2	11.6
CBDDTY010000275.1	1	38882	32	5284	13.5898	0.155599	30.4	37
CBDDTY010000276.1	1	38878	45	5627	14.4735	0.180925	31.1	11.6
CBDDTY010000277.1	1	38878	112	12273	31.568	0.541977	30.1	11.8
CBDDTY010000278.1	1	38865	191	14469	37.2289	0.890055	30.6	2.14
CBDDTY010000279.1	1	38853	58	9284	23.8952	0.276504	30.4	32.2
CBDDTY010000280.1	1	38850	54	7619	19.6113	0.228108	31	21.9
CBDDTY010000281.1	1	38832	78	9377	24.1476	0.365858	29.7	10.7
CBDDTY010000282.1	1	38810	56	8644	22.2726	0.275238	29.6	21.6
CBDDTY010000283.1	1	38771	52	6500	16.7651	0.253927	29.5	18.2
CBDDTY010000284.1	1	38770	50	7225	18.6355	0.236781	29.1	34.1
CBDDTY010000285.1	1	38755	47	6201	16.0005	0.204928	29.7	14.1
CBDDTY010000286.1	1	38738	52	7936	20.4863	0.242372	31	29.5
CBDDTY010000287.1	1	38720	111	12541	32.3889	0.525155	29.4	13.7
CBDDTY010000288.1	1	38713	79	9374	24.2141	0.341384	30.6	29.3
CBDDTY010000289.1	1	38712	23	2765	7.14249	0.105368	30.1	10.9
CBDDTY010000290.1	1	38709	94	9638	24.8986	0.404609	31.4	15.9
CBDDTY010000291.1	1	38702	70	8655	22.3632	0.329931	30.4	8.26
CBDDTY010000292.1	1	38701	52	8155	21.0718	0.26666	28.9	37.8
CBDDTY010000293.1	1	38680	99	9380	24.2503	0.455067	31.1	21.2
CBDDTY010000294.1	1	38634	79	9298	24.0669	0.387948	29.3	23.9
CBDDTY010000295.1	1	38608	58	6340	16.4215	0.287272	29.7	9.47
CBDDTY010000296.1	1	38606	93	12563	32.5416	0.443558	29.3	30.2
CBDDTY010000297.1	1	38601	80	9915	25.6859	0.416725	29.6	16.6
CBDDTY010000298.1	1	38590	75	10391	26.9267	0.366468	30.5	18.4
CBDDTY010000299.1	1	38564	48	6268	16.2535	0.219583	29.8	18.8
CBDDTY010000300.1	1	38531	89	10917	28.333	0.417638	28.5	26.7
CBDDTY010000301.1	1	38525	119	15288	39.6833	0.579338	28.9	26.1
CBDDTY010000302.1	1	38520	182	19513	50.6568	0.884943	29.5	32.2
CBDDTY010000303.1	1	38510	72	9637	25.0247	0.321293	31.4	12.6
CBDDTY010000304.1	1	38509	67	10191	26.4639	0.349165	32.1	44.8
CBDDTY010000305.1	1	38500	61	8417	21.8623	0.291403	31.2	28.6
CBDDTY010000306.1	1	38496	75	10243	26.608	0.374195	30.4	30.4
CBDDTY010000307.1	1	38496	38	4183	10.8661	0.164069	30.4	8.84
CBDDTY010000308.1	1	38488	60	9365	24.3323	0.29591	28.5	37.4
CBDDTY010000309.1	1	38475	57	7332	19.0565	0.263262	30.2	21.4
CBDDTY010000310.1	1	38475	103	9667	25.1254	0.465133	29.7	9
CBDDTY010000311.1	1	38461	94	8933	23.2261	0.468787	30.5	6.71
CBDDTY010000312.1	1	38440	77	11287	29.3626	0.369589	29.2	15.1
CBDDTY010000313.1	1	38421	13	1972	5.13261	0.0585617	31.4	16.5
CBDDTY010000314.1	1	38411	125	13384	34.8442	0.59949	30.2	22.8
CBDDTY010000315.1	1	38407	110	11203	29.1692	0.525295	30.5	9.63
CBDDTY010000316.1	1	38391	80	10286	26.7927	0.414238	29.7	35.3
CBDDTY010000317.1	1	38384	47	4020	10.4731	0.194274	30.4	7.6
CBDDTY010000318.1	1	38383	55	8481	22.0957	0.269077	30.5	25.1
CBDDTY010000319.1	1	38375	80	7876	20.5238	0.343948	30	6.78
CBDDTY010000320.1	1	38368	81	8592	22.3937	0.357147	29.7	6.2
CBDDTY010000321.1	1	38356	51	7475	19.4885	0.223928	29.7	32.7
CBDDTY010000322.1	1	38340	77	6230	16.2493	0.369536	29.1	7.05
CBDDTY010000323.1	1	38335	64	9690	25.2772	0.301969	30.2	26
CBDDTY010000324.1	1	38317	18	2436	6.35749	0.0827309	30.1	3.78
CBDDTY010000325.1	1	38299	61	9397	24.5359	0.29677	30.6	41.9
CBDDTY010000326.1	1	38273	71	8391	21.9241	0.323387	30.8	27.6
CBDDTY010000327.1	1	38259	142	15080	39.4156	0.681147	28.7	12.9
CBDDTY010000328.1	1	38219	85	12265	32.0914	0.426803	30.5	15
CBDDTY010000329.1	1	38211	47	7951	20.8081	0.233127	30.5	36.5
CBDDTY010000330.1	1	38211	98	9343	24.4511	0.454293	30.4	16.1
CBDDTY010000331.1	1	38209	32	4451	11.6491	0.151744	29.7	12.2
CBDDTY010000332.1	1	38200	67	8569	22.4319	0.293508	29.7	11.8
CBDDTY010000333.1	1	38155	31	4032	10.5674	0.14981	30.2	7.68
CBDDTY010000334.1	1	38145	52	6322	16.5736	0.219269	31.8	17.9
CBDDTY010000335.1	1	38142	85	9555	25.0511	0.417545	29.9	7.05
CBDDTY010000336.1	1	38087	73	8238	21.6294	0.340641	30	15.6
CBDDTY010000337.1	1	38074	46	5314	13.957	0.202422	29	9.83
CBDDTY010000338.1	1	38035	62	7156	18.8143	0.303957	29.5	15.5
CBDDTY010000339.1	1	38023	57	5942	15.6274	0.264945	30.1	8
CBDDTY010000340.1	1	38010	13	2630	6.91923	0.0691923	29.4	15.2
CBDDTY010000341.1	1	38009	74	11187	29.4325	0.383199	29.7	40.5
